Energy	TEY
278	-0.0121943
278.25	-0.00784557
278.5	-0.00515443
278.75	-0.00452189
279	-0.00747119
279.25	-0.006667
279.5	-0.00533106
279.75	-0.00981772
280	0
280.25	-0.00239019
280.5	-0.00377763
280.75	-0.00773776
281	-0.00873103
281.25	-0.00535635
281.5	-0.00315667
281.75	-0.000806948
282	-0.0016117
282.25	-0.00155905
282.5	0.00221273
282.75	0.00886173
283	0.0125657
283.025	0.0050093
283.05	0.0140022
283.075	0.00286365
283.1	0.00516633
283.125	0.00999727
283.15	0.0122167
283.175	0.0192833
283.2	0.0098276
283.225	0.0116337
283.25	0.0133399
283.275	0.01638
283.3	0.0237922
283.325	0.021219
283.35	0.0163481
283.375	0.0215584
283.4	0.0266013
283.425	0.0239181
283.45	0.0202392
283.475	0.0254432
283.5	0.0392216
283.525	0.0326222
283.55	0.0339872
283.575	0.0315044
283.6	0.044182
283.625	0.0437882
283.65	0.0474795
283.675	0.0626801
283.7	0.0637679
283.725	0.0751854
283.75	0.083812
283.775	0.112105
283.8	0.139639
283.825	0.165492
283.85	0.169817
283.875	0.220145
283.9	0.24984
283.925	0.287608
283.95	0.334675
283.975	0.348585
284	0.377935
284.025	0.385385
284.05	0.392611
284.075	0.42111
284.1	0.419385
284.125	0.412751
284.15	0.409862
284.175	0.413835
284.2	0.412208
284.225	0.38961
284.25	0.376837
284.275	0.375232
284.3	0.360324
284.325	0.351907
284.35	0.331549
284.375	0.331085
284.4	0.336449
284.425	0.320407
284.45	0.319826
284.475	0.338422
284.5	0.320712
284.525	0.344904
284.55	0.329872
284.575	0.355125
284.6	0.388414
284.625	0.415714
284.65	0.47037
284.675	0.466204
284.7	0.494876
284.725	0.544374
284.75	0.557891
284.775	0.579896
284.8	0.63433
284.825	0.6794
284.85	0.691926
284.875	0.747093
284.9	0.787812
284.925	0.847023
284.95	0.910618
284.975	0.968261
285	1.05516
285.025	1.14306
285.05	1.23369
285.075	1.3136
285.1	1.44274
285.125	1.54769
285.15	1.62582
285.175	1.68347
285.2	1.80213
285.225	1.84769
285.25	1.91019
285.275	1.96705
285.3	2.03055
285.325	2.06346
285.35	2.11158
285.375	2.168
285.4	2.21
285.425	2.25061
285.45	2.26924
285.475	2.27639
285.5	2.27933
285.525	2.28987
285.55	2.2609
285.575	2.24743
285.6	2.18231
285.625	2.10313
285.65	2.03785
285.675	1.93216
285.7	1.85545
285.725	1.75351
285.75	1.67902
285.775	1.57498
285.8	1.45398
285.825	1.35203
285.85	1.28467
285.875	1.1946
285.9	1.09643
285.925	1.03155
285.95	0.950498
285.975	0.893001
286	0.857191
286.025	0.807248
286.05	0.784143
286.075	0.729964
286.1	0.696463
286.125	0.67125
286.15	0.650306
286.175	0.618239
286.2	0.609398
286.225	0.597375
286.25	0.583561
286.275	0.577722
286.3	0.582262
286.325	0.579727
286.35	0.599348
286.375	0.594508
286.4	0.602289
286.425	0.615964
286.45	0.636963
286.475	0.674125
286.5	0.710539
286.525	0.744257
286.55	0.806024
286.575	0.850706
286.6	0.88838
286.625	0.990681
286.65	1.04525
286.675	1.09621
286.7	1.15237
286.725	1.20905
286.75	1.23474
286.775	1.26313
286.8	1.27862
286.825	1.2824
286.85	1.30933
286.875	1.33342
286.9	1.34572
286.925	1.39491
286.95	1.42655
286.975	1.45331
287	1.46618
287.025	1.47545
287.05	1.50968
287.075	1.51639
