#********************  Core Scattering Data  ********************
#******************  B. Watts & H. Ade et al.  ******************
#
#Acronym:	P3HT
#Name:		Regioregular Poly(3-hexylthiophene-2,5-diyl)
#Formula:	C10SH14
#Formula Mass:	166.284160
#Reference:	J. Chem. Phys. 134, 024702 (2011); doi:10.1063/1.3506636
#Source:	Merck KGaA
#Acquisition:	TEY (drain current) NEXAFS
#Abs. Edge (Resolution):	C-K (50 meV)
#Incidence Angle:	50°
#Write Date:	2011-02-22
#----------------------------------------------------------------
#Energy (eV)	f1	f2
#----------------------------------------------------------------
10.000000	-9999.000000	12.120980
10.161700	-9999.000000	12.750330
10.326100	-9999.000000	13.412650
10.493100	-9999.000000	14.109660
10.662800	-9999.000000	14.843170
10.835300	-9999.000000	15.629010
11.010600	-9999.000000	16.498420
11.188600	-9999.000000	17.417040
11.369600	-9999.000000	18.417020
11.553500	-9999.000000	19.538740
11.740400	-9999.000000	20.728690
11.930300	-9999.000000	21.991230
12.123200	-9999.000000	23.125220
12.319300	-9999.000000	24.266210
12.518600	-9999.000000	25.465470
12.721000	-9999.000000	26.726240
12.926800	-9999.000000	27.917500
13.135900	-9999.000000	29.163360
13.348300	-9999.000000	30.473060
13.564200	-9999.000000	31.546250
13.783600	-9999.000000	32.606370
14.006600	-9999.000000	33.704980
14.233100	-9999.000000	34.843610
14.463300	-9999.000000	35.976130
14.697300	-9999.000000	36.969230
14.935000	-9999.000000	37.764770
15.176500	-9999.000000	38.580740
15.422000	-9999.000000	39.417740
15.671400	-9999.000000	40.275920
15.900000	-9999.000000	41.068810
15.924900	-9999.000000	41.155180
16.100000	-9999.000000	41.700800
16.182500	-9999.000000	41.957870
16.444200	-9999.000000	42.460680
16.710200	-9999.000000	44.192440
16.980500	-9999.000000	56.754980
17.255100	-9999.000000	56.679310
17.534200	-9999.000000	56.624890
17.817800	-9999.000000	56.536680
18.106000	-9999.000000	56.250760
18.398900	-9999.000000	55.979590
18.696400	-9999.000000	55.722720
18.998800	-9999.000000	55.444860
19.306100	-9999.000000	55.181520
19.618400	-9999.000000	54.926250
19.935700	-9999.000000	54.669810
20.258200	-9999.000000	54.347910
20.585800	-9999.000000	53.723880
20.918800	-9999.000000	52.972790
21.257100	-9999.000000	52.239490
21.600900	-9999.000000	51.523300
21.950300	-9999.000000	50.823800
22.305300	-9999.000000	50.140530
22.666100	-9999.000000	49.473010
23.032700	-9999.000000	48.677930
23.405300	-9999.000000	47.621310
23.783800	-9999.000000	46.593440
24.168500	-9999.000000	45.596220
24.559400	-9999.000000	44.674980
24.956600	-9999.000000	43.773180
25.360300	-9999.000000	42.892790
25.770500	-9999.000000	41.939340
26.187300	-9999.000000	40.987030
26.610900	-9999.000000	39.971710
27.041300	-9999.000000	38.950720
27.478600	-9999.000000	37.965900
27.923100	-9999.000000	37.015370
28.374700	-9999.000000	36.062370
28.833700	-9999.000000	35.136980
29.300000	53.487490	34.247410
29.773900	53.978350	33.307020
30.255500	54.345530	32.372460
30.744900	54.654610	31.556010
31.242100	54.966750	30.774970
31.747500	55.259830	30.018970
32.260900	55.532290	29.291650
32.782700	55.787060	28.588520
33.313000	56.022620	27.907510
33.851800	56.241100	27.251400
34.399300	56.443870	26.614460
34.955700	56.620070	25.995980
35.521100	56.783530	25.422990
36.095600	56.950350	24.870990
36.679400	57.113640	24.335840
37.200000	57.257250	23.880780
37.272700	57.276070	23.817240
37.400000	57.309310	23.710500
37.875500	57.436210	23.311830
38.488200	57.593800	22.820620
39.110700	57.769530	22.342790
39.743200	57.950980	21.829310
40.386100	58.092550	21.290510
41.039300	58.188840	20.766680
41.703100	58.256410	20.264970
42.377600	58.307060	19.787420
43.063000	58.340320	19.321340
43.759500	58.349570	18.873900
44.467300	58.336750	18.448920
45.186500	58.274000	18.045420
45.917400	58.219560	17.750910
46.660000	58.211590	17.463240
47.414700	58.215090	17.182470
48.181600	58.220870	16.908410
48.960900	58.229740	16.651430
49.752800	58.245020	16.404690
50.557600	58.266530	16.169750
51.375300	58.300900	15.941870
52.206200	58.333000	15.698900
53.050600	58.335250	15.462170
53.908700	58.327430	15.272050
54.780600	58.344580	15.115070
55.666700	58.385920	14.961570
56.567000	58.439390	14.812760
57.482000	58.506920	14.672040
58.411700	58.595750	14.535260
59.356400	58.700610	14.387350
60.316500	58.821380	14.237850
61.292100	58.967440	14.067270
62.283400	59.101160	13.842100
63.290800	59.201080	13.622370
64.314500	59.291910	13.405290
65.354700	59.372810	13.187120
66.411800	59.444050	12.973940
67.485900	59.511370	12.765630
68.577500	59.573600	12.556260
69.686700	59.628460	12.350460
70.813800	59.678370	12.148950
71.959100	59.727350	11.951820
73.123000	59.773040	11.750370
74.305700	59.808790	11.548880
75.507600	59.834610	11.352750
76.728900	59.856210	11.166080
77.969900	59.876840	10.983180
79.231000	59.895940	10.803250
80.512500	59.911670	10.623030
81.814700	59.921970	10.445030
83.138000	59.927310	10.269670
84.482700	59.927830	10.097430
85.849100	59.923880	9.928516
87.237700	59.915920	9.762888
88.648700	59.904050	9.600029
90.082500	59.888140	9.439812
91.539500	59.868170	9.281983
93.020100	59.843390	9.125996
94.524600	59.813530	8.972984
96.053500	59.779080	8.822871
97.607100	59.740250	8.675590
99.185800	59.698500	8.531093
100.790000	59.652990	8.385215
102.420000	59.599190	8.237944
104.077000	59.536340	8.093702
105.760000	59.465550	7.952116
107.471000	59.386150	7.814136
109.209000	59.299230	7.681301
110.975000	59.206100	7.552925
112.770000	59.107360	7.427967
114.594000	59.002580	7.304529
116.448000	58.889470	7.181336
118.331000	58.766320	7.059828
120.245000	58.632660	6.940483
122.190000	58.487990	6.823344
124.166000	58.331530	6.708364
126.175000	58.162060	6.595299
128.215000	57.978510	6.484286
130.289000	57.779470	6.375309
132.397000	57.567330	6.268239
134.538000	57.332930	6.149832
136.714000	57.065620	6.033428
138.925000	56.765830	5.919373
